x 	 0 	 x
x 	 1 	 x
x 	 2 	 x
x 	 3 	 x
x 	 4 	 x
x 	 5 	 x
x 	 6 	 x
x 	 7 	 x
x 	 8 	 x
x 	 9 	 x
x 	 10 	 x
x 	 11 	 x
x 	 12 	 x
x 	 13 	 x
x 	 14 	 x
x 	 15 	 x
x 	 16 	 x
x 	 17 	 x
x 	 18 	 x
x 	 19 	 x
8078.73 	 20 	 0
x 	 21 	 x
8893.59 	 22 	 0
9493.59 	 23 	 353.492
10093.6 	 24 	 697.786
x 	 25 	 x
x 	 26 	 x
10616.4 	 27 	 203.474
x 	 28 	 x
x 	 29 	 x
11387.4 	 30 	 0
11939.4 	 31 	 10.7588
12344.4 	 32 	 0
x 	 33 	 x
12970 	 34 	 0
13428.2 	 35 	 0
13805.6 	 36 	 0
x 	 37 	 x
x 	 38 	 x
14830.4 	 39 	 0
x 	 40 	 x
15563.4 	 41 	 0
x 	 42 	 x
16283.3 	 43 	 0
16851.3 	 44 	 0
17288.7 	 45 	 0
x 	 46 	 x
x 	 47 	 x
18650.4 	 48 	 0
19250.4 	 49 	 246.48
x 	 50 	 x
20040.3 	 51 	 0
20530 	 52 	 0
20855.5 	 53 	 0
21295.8 	 54 	 0
21728.4 	 55 	 0
x 	 56 	 x
x 	 57 	 x
x 	 58 	 x
x 	 59 	 x
x 	 60 	 x
x 	 61 	 x
24128.7 	 62 	 0
x 	 63 	 x
x 	 64 	 x
x 	 65 	 x
x 	 66 	 x
26051.3 	 67 	 0
x 	 68 	 x
26973.9 	 69 	 0
27403 	 70 	 74.2944
x 	 71 	 x
27930.5 	 72 	 0
x 	 73 	 x
x 	 74 	 x
x 	 75 	 x
x 	 76 	 x
29774.4 	 77 	 0
30374.4 	 78 	 177.256
30748.2 	 79 	 0
31162.3 	 80 	 0
32922.5 	 81 	 1315.35
x 	 82 	 x
x 	 83 	 x
33940.7 	 84 	 1168.92
x 	 85 	 x
x 	 86 	 x
x 	 87 	 x
34245.5 	 88 	 0
x 	 89 	 x
35311.8 	 90 	 0
35899.2 	 91 	 0
x 	 92 	 x
36815.6 	 93 	 0
x 	 94 	 x
x 	 95 	 x
37964 	 96 	 0
x 	 97 	 x
x 	 98 	 x
x 	 99 	 x
x 	 100 	 x
39651.7 	 101 	 0
x 	 102 	 x
x 	 103 	 x
40770.7 	 104 	 0
x 	 105 	 x
x 	 106 	 x
x 	 107 	 x
x 	 108 	 x
42662.7 	 109 	 0
x 	 110 	 x
x 	 111 	 x
43719.6 	 112 	 0
44319.6 	 113 	 243.054
44919.6 	 114 	 557.8
x 	 115 	 x
x 	 116 	 x
45528.3 	 117 	 0
x 	 118 	 x
x 	 119 	 x
x 	 120 	 x
46801.9 	 121 	 0
x 	 122 	 x
x 	 123 	 x
x 	 124 	 x
48346.6 	 125 	 0
48946.6 	 126 	 70.8321
49300.6 	 127 	 0
49697.2 	 128 	 0
x 	 129 	 x
50302.4 	 130 	 0
50892.5 	 131 	 217.123
50942.7 	 132 	 0
51049.8 	 133 	 0
51623.6 	 134 	 0
x 	 135 	 x
x 	 136 	 x
x 	 137 	 x
x 	 138 	 x
53703.1 	 139 	 0
54730.2 	 140 	 585.559
x 	 141 	 x
x 	 142 	 x
x 	 143 	 x
55761.2 	 144 	 0
56061.3 	 145 	 0
x 	 146 	 x
56820 	 147 	 0
x 	 148 	 x
x 	 149 	 x
57717.6 	 150 	 0
x 	 151 	 x
58666.9 	 152 	 0
x 	 153 	 x
59468.8 	 154 	 0
x 	 155 	 x
x 	 156 	 x
x 	 157 	 x
x 	 158 	 x
61288.7 	 159 	 0
x 	 160 	 x
62157 	 161 	 0
x 	 162 	 x
62898.6 	 163 	 0
63498.6 	 164 	 178.509
64098.6 	 165 	 282.051
x 	 166 	 x
64698.6 	 167 	 73.9209
65031.5 	 168 	 0
65483 	 169 	 0
x 	 170 	 x
66431 	 171 	 0
x 	 172 	 x
66867.7 	 173 	 0
67302 	 174 	 0
x 	 175 	 x
67997.9 	 176 	 0
68538.3 	 177 	 363.453
68615.4 	 178 	 0
x 	 179 	 x
x 	 180 	 x
x 	 181 	 x
x 	 182 	 x
x 	 183 	 x
x 	 184 	 x
x 	 185 	 x
x 	 186 	 x
x 	 187 	 x
72305.9 	 188 	 0
x 	 189 	 x
x 	 190 	 x
x 	 191 	 x
x 	 192 	 x
x 	 193 	 x
x 	 194 	 x
x 	 195 	 x
75882.9 	 196 	 0
76482.9 	 197 	 299.558
x 	 198 	 x
x 	 199 	 x
77525.7 	 200 	 0
x 	 201 	 x
x 	 202 	 x
x 	 203 	 x
