x 	 0 	 x
x 	 1 	 x
x 	 2 	 x
x 	 3 	 x
x 	 4 	 x
x 	 5 	 x
x 	 6 	 x
x 	 7 	 x
x 	 8 	 x
x 	 9 	 x
x 	 10 	 x
x 	 11 	 x
x 	 12 	 x
x 	 13 	 x
7207.3 	 14 	 1594.33
x 	 15 	 x
x 	 16 	 x
x 	 17 	 x
x 	 18 	 x
x 	 19 	 x
8454.19 	 20 	 0
x 	 21 	 x
9493.59 	 22 	 0
10616.4 	 23 	 522.795
10870.7 	 24 	 254.327
x 	 25 	 x
x 	 26 	 x
11939.4 	 27 	 1245.83
x 	 28 	 x
x 	 29 	 x
13110.6 	 30 	 1171.17
14307 	 31 	 2319.56
14713.2 	 32 	 2173.77
x 	 33 	 x
14758.3 	 34 	 1647.7
14910.7 	 35 	 1340.75
15664.6 	 36 	 1636.38
x 	 37 	 x
x 	 38 	 x
16205.7 	 39 	 1295.01
x 	 40 	 x
16230.9 	 41 	 566.316
x 	 42 	 x
16675.7 	 43 	 0
16883.3 	 44 	 0
17451.3 	 45 	 0
x 	 46 	 x
x 	 47 	 x
19250.4 	 48 	 0
19678.1 	 49 	 0
x 	 50 	 x
20164.2 	 51 	 0
20640.3 	 52 	 0
21901.2 	 53 	 771.152
22542.8 	 54 	 1087.33
22811.9 	 55 	 916.105
x 	 56 	 x
x 	 57 	 x
x 	 58 	 x
x 	 59 	 x
x 	 60 	 x
x 	 61 	 x
24254.9 	 62 	 0
x 	 63 	 x
x 	 64 	 x
x 	 65 	 x
x 	 66 	 x
27403 	 67 	 751.738
x 	 68 	 x
30718 	 69 	 3314.94
30887.8 	 70 	 3313.87
x 	 71 	 x
32292.6 	 72 	 4289.62
x 	 73 	 x
x 	 74 	 x
x 	 75 	 x
x 	 76 	 x
32922.5 	 77 	 2548.14
33940.7 	 78 	 3222.75
33960.5 	 79 	 3072.74
33988.6 	 80 	 2640.44
35083.8 	 81 	 1561.3
x 	 82 	 x
x 	 83 	 x
35650.7 	 84 	 1690.19
x 	 85 	 x
x 	 86 	 x
x 	 87 	 x
36077.5 	 88 	 1536.78
x 	 89 	 x
37306.1 	 90 	 1655.36
37735.6 	 91 	 1823.74
x 	 92 	 x
38145.8 	 93 	 839.719
x 	 94 	 x
x 	 95 	 x
39751.2 	 96 	 1605.44
x 	 97 	 x
x 	 98 	 x
x 	 99 	 x
x 	 100 	 x
39787.6 	 101 	 36.3779
x 	 102 	 x
x 	 103 	 x
40997.9 	 104 	 0
x 	 105 	 x
x 	 106 	 x
x 	 107 	 x
x 	 108 	 x
43262.7 	 109 	 0
x 	 110 	 x
x 	 111 	 x
44319.6 	 112 	 0
44919.6 	 113 	 0
45519.6 	 114 	 0
x 	 115 	 x
x 	 116 	 x
45666.2 	 117 	 0
x 	 118 	 x
x 	 119 	 x
x 	 120 	 x
47756.6 	 121 	 354.627
x 	 122 	 x
x 	 123 	 x
x 	 124 	 x
48946.6 	 125 	 0
49064.2 	 126 	 0
49460.9 	 127 	 0
49900.6 	 128 	 0
x 	 129 	 x
50892.5 	 130 	 0
50902.4 	 131 	 0
51019.4 	 132 	 0
51111.7 	 133 	 0
51649.8 	 134 	 0
x 	 135 	 x
x 	 136 	 x
x 	 137 	 x
x 	 138 	 x
54303.1 	 139 	 0
54862.1 	 140 	 0
x 	 141 	 x
x 	 142 	 x
x 	 143 	 x
55795.1 	 144 	 0
56361.2 	 145 	 0
x 	 146 	 x
56894.4 	 147 	 0
x 	 148 	 x
x 	 149 	 x
58087.8 	 150 	 0
x 	 151 	 x
59266.9 	 152 	 0
x 	 153 	 x
60068.8 	 154 	 0
x 	 155 	 x
x 	 156 	 x
x 	 157 	 x
x 	 158 	 x
61888.7 	 159 	 0
x 	 160 	 x
62344.9 	 161 	 0
x 	 162 	 x
63498.6 	 163 	 0
64819.4 	 164 	 720.835
65892.6 	 165 	 1193.99
x 	 166 	 x
66157 	 167 	 1337.62
66733.2 	 168 	 1434.67
66995.5 	 169 	 1364.06
x 	 170 	 x
67361.8 	 171 	 628.553
x 	 172 	 x
67390.6 	 173 	 395.091
67457.8 	 174 	 96.006
x 	 175 	 x
68538.3 	 176 	 0
69425.7 	 177 	 827.845
69972.1 	 178 	 833.773
x 	 179 	 x
x 	 180 	 x
x 	 181 	 x
x 	 182 	 x
x 	 183 	 x
x 	 184 	 x
x 	 185 	 x
x 	 186 	 x
x 	 187 	 x
72905.9 	 188 	 0
x 	 189 	 x
x 	 190 	 x
x 	 191 	 x
x 	 192 	 x
x 	 193 	 x
x 	 194 	 x
x 	 195 	 x
